node1,node2,CN,JC,AA,RA,PA,label
1226,1701,15,0.12295081967213115,3.115460942278282,0.1300173225226979,4312,1
1018,1806,69,0.2804878048780488,14.253608245668685,0.5806903239103359,24650,1
1326,1365,30,0.15789473684210525,6.5070965900809075,0.348585605483096,11076,1
1618,1783,24,0.11428571428571428,5.947160388129579,0.550509755034714,13400,1
0,110,67,0.23674911660777384,13.909497376014532,0.5741306968774998,22704,1
238,1397,12,0.08163265306122448,3.54547348465221,0.5279976700879456,2030,1
150,1218,40,0.5555555555555556,8.451368936948493,0.3822972078970166,3072,1
895,1802,13,0.09154929577464789,2.9428125230593047,0.1981016773117819,6006,1
1136,1861,83,0.4029126213592233,16.547694697517542,0.5723983631525876,20808,1
517,1477,22,0.11398963730569948,5.150095264425661,0.3711069161428624,9576,1
898,1675,6,0.05357142857142857,1.5149577627957196,0.12719502223966508,1456,1
1582,1994,30,0.09554140127388536,6.235220858020626,0.29431787560730344,29260,1
612,777,13,0.08024691358024691,2.6789717799176906,0.1186549386948895,6900,1
832,1116,16,0.11267605633802817,3.403067204116235,0.1658393420733199,2397,1
1356,1712,7,0.11475409836065574,1.4090038412279606,0.05251985815311882,672,1
637,1720,4,0.10526315789473684,1.2660281781175828,0.19906272972310707,245,1
279,1756,32,0.2,6.661297024316038,0.2857222106900548,9200,1
93,1684,11,0.0718954248366013,2.574352336494479,0.17936340583126034,4323,1
469,1785,16,0.21333333333333335,3.852411894323211,0.29785352480201366,1650,1
1159,1959,24,0.11374407582938388,5.327833785735206,0.29514841946663495,13156,1
931,1843,58,0.18012422360248448,12.581864291675108,0.6491802239009542,35956,1
284,935,87,0.3493975903614458,17.403942327746762,0.6114974627825838,28223,1
874,1577,17,0.0787037037037037,3.8542625498363354,0.2522371185633407,10150,1
1421,1433,20,0.0970873786407767,4.415390224607671,0.2577659864458348,12328,1
376,1538,19,0.09313725490196079,4.034250758541288,0.18803830042616887,7030,1
355,1787,10,0.08547008547008547,1.9354843013296688,0.05972105746681914,3480,1
362,514,24,0.11594202898550725,5.173965321651951,0.26721902987797597,13328,1
47,1868,39,0.23353293413173654,8.156076470132192,0.3643215930915432,10608,1
460,721,24,0.19834710743801653,5.245627070994592,0.2860596893013949,4750,1
1604,1959,12,0.08,2.7034666796699303,0.17522834615000069,6440,1
422,1152,10,0.047619047619047616,2.02989669321374,0.07582023423368134,6916,1
488,1069,24,0.15384615384615385,5.1344169354927915,0.24547731844094386,7011,1
181,498,28,0.09032258064516129,6.030613497284075,0.31807991735364916,28200,1
166,711,10,0.11627906976744186,2.213830090528367,0.11440822018671788,1343,1
579,1330,7,0.06542056074766354,1.6482856207861043,0.12163912268760618,3200,1
445,1343,43,0.43434343434343436,9.230156868275843,0.4574829005724113,5032,1
176,1520,26,0.0611764705882353,5.345794490567516,0.23123067572467898,27898,1
1298,1513,1,0.00980392156862745,0.29401410379520604,0.03333333333333333,202,1
888,1986,9,0.06521739130434782,1.8115205832502896,0.0709534805106413,5130,1
74,1646,39,0.2846715328467153,8.37750687484207,0.40342894128248435,6223,1
1664,2037,31,0.2198581560283688,6.928211881037671,0.3882641799366806,7072,1
298,1126,9,0.05027932960893855,1.9859931074808783,0.1507219628125724,8547,1
741,1745,11,0.05472636815920398,2.622433580535514,0.19722652062725174,9792,1
1045,1562,10,0.06060606060606061,2.1338261624968897,0.09980935474920775,7314,1
168,2049,13,0.07065217391304347,3.077087183523452,0.21872477104850013,9660,1
1398,1579,13,0.15476190476190477,3.079001593877009,0.2344364359257844,2332,1
1333,1506,38,0.5205479452054794,7.9320901648502495,0.34728533071445267,3050,1
1655,1953,9,0.08823529411764706,2.3539979707396013,0.23916244338148998,1010,1
1269,1823,13,0.17105263157894737,3.083819675103636,0.227117825712567,1050,1
220,1836,31,0.1834319526627219,6.54723809827886,0.2969849460352849,6636,1
901,1797,2,0.06666666666666667,0.5320146618250159,0.054971988795518206,231,1
205,1223,36,0.15319148936170213,7.820338473321366,0.4086163051730022,14328,1
383,1162,66,0.1476510067114094,14.090214813492905,0.6639574835493688,54450,1
429,1590,8,0.03636363636363636,1.8989425169361178,0.18030034241337373,7371,1
713,1527,16,0.10256410256410256,3.3288091815879697,0.15107921838382635,5632,1
1519,1907,39,0.18396226415094338,8.082024584647435,0.3384354485049742,11460,1
729,1549,92,0.15358931552587646,19.431104979719315,0.8822520921218407,87508,1
828,1879,18,0.06741573033707865,3.7998439151916,0.16755010221318473,12116,1
308,1468,5,0.0423728813559322,1.0950779151119696,0.059483340848270776,3476,1
523,809,42,0.08624229979466119,9.032408276786391,0.4404278271741507,29358,1
